Site,No,Type,MXL,MXW,MXT,TCSA,UseWare,3D,EFA,Area(áuÅj,Verts,file name:EFA
TM,15,KN,89.5,35.8,12.4,221.96,KNC,ÅZ,ÅZ,0.004416651,84143,f_171TMKN15
TM,16,KN,99.5,35.5,12.6,223.65,KNC,ÅZ,ÅZ,0.005016379,104184,f_172TMKN16
TM,17,KN,124.5,34.3,11.4,195.51,KNC,ÅZ,ÅZ,0.006458022,138531,f_N176TMKN17
TM,30,KN,90.2,24.4,11.4,139.08,KNC,,ÅZ,,,f_174TMKN30
TM,31,KN,124.9,31.3,10.6,165.89,KNC,ÅZ,ÅZ,0.006261156,121643,f_175TMKN31
TM,41,ES,62,21.7,13.5,146.475,ES,,ÅZ,,,e_143TMeS-41-100
TM,42,ES,56.5,31.2,12.9,201.24,ESAB,,ÅZ,,,e_AB144TMeS-42-100
TM,43,ES,83.1,27.2,18.1,246.16,ESAB,,ÅZ,,,e_AB145TMeS-43-100
TM,44,ES,92.8,34.6,16.3,281.99,ESA,,ÅZ,,,e_A146TMeS-44-100
TM,45,ES,86.2,36.6,21.3,389.79,ESAB,,ÅZ,,,e_AB147TMeS-45-100
TM,46,ES,103,32.3,12.2,197.03,ESAB,,ÅZ,,,e_AB148TMeS-46-100
TM,47,ES,60.9,25.2,9.9,124.74,ESAB,,ÅZ,,,e_AB149TMeS-47-100
TM,48,ES,72,24.8,9,111.6,ESA,,ÅZ,,,e_A150TMeS-48-100
TM,49,ES,98.1,34,17.4,295.8,ES,,ÅZ,,,e_151TMeS-49-100
TM,50,ES,103.9,39.9,14.1,281.295,ESAB,,ÅZ,,,e_AB152TMeS-50-100
TM,51,ES,107.7,39,18.4,358.8,ESA,,ÅZ,,,e_A153TMeS-51-100
TM,52,ES,93.9,48.8,29.9,729.56,ES,,ÅZ,,,e_154TMeS-52-100
TM,53,ES,113.6,40.3,20.7,417.105,ESA,,ÅZ,,,e_A155TMeS-53-100
TM,54,ES,118,40.4,14.9,300.98,ESAB,,ÅZ,,,e_AB156TMeS-54-100
SZ,RQ492,KN,128.23,55.6,20.3,564.34,KND,ÅZ,ÅZ,0.011248509,249068,U-SZ1-492
SZ,RQ486,KN,112,38.3,9.8,187.67,KND,,ÅZ,,,U-SZ20-486
SZ,RQ454,KN,110.9,23.9,11.6,138.62,KN,ÅZ,ÅZ,0.004972658,83293,SZ5-454
SZ,RQ35,KN,108.7,38.9,10,194.5,KND,ÅZ,ÅZ,0.006345418,136539,U-SZ2-35
SZ,RQ432+491,KN,108.3,24.2,10.9,131.89,KND,,ÅZ,,,U-SZ7-432
SZ,RQ463+464,KN,99.9,28.4,12.8,181.76,KND,,ÅZ,,,U-SZ6-463464
SZ,RQ367,KN,96.5,32.8,11.5,188.6,KND,ÅZ,ÅZ,0.005329684,105577,U-SZ19-367
SZ,RQ384,KN,92.1,33.1,7.6,125.78,KND,ÅZ,ÅZ,0.004857759,100407,U-SZ3-384
SZ,RQ455,KN,88.5,33.6,12.4,208.32,KND,ÅZ,ÅZ,0.004891348,104227,U-SZ16-455
SZ,RQ510,KN,89.4,32,12.5,200,KN,ÅZ,ÅZ,0.004578952,96678,SZ17-510
SZ,RQ551,KN,87.57,28.77,12.2,175.497,KN,,,,,
SZ,RQ187,KN,83.63,32.32,12.72,205.5552,KN,,,,,
SZ,RQ289,KN,69.9,29.9,8.8,131.56,KNIF2,ÅZ,ÅZ,0.003345014,69876,U-SZ11-289
SZ,RQ459,KN,75.1,32,9.6,153.6,KN,ÅZ,ÅZ,0.003839642,81022,SZ18-459
SZ,RQ228+516,KN,79.2,32.6,8,130.4,KN,,ÅZ,,,SZ8-228516
SZ,RQ568,KN,59.5,38.4,10,192,KN,,ÅZ,,,SZ14-568
SZ,RQ591,KN,74.02,26.9,12.93,173.9085,KN,,ÅZ,,,SZ23-591
SZ,RQ579,KN,66.8,24,9.8,117.6,KND,ÅZ,ÅZ,0.002824469,61302,U-SZ9-579
SZ,RQ482,KN,64.8,32.1,13.5,216.675,KN,ÅZ,ÅZ,0.002979223,64711,SZ15-482
SZ,RQ239,KN,58.1,20.7,8,82.8,KN,,,,,
SZ,RQ509Åõ,KN,74.02,21.06,9.38,98.7714,KN,,,,,
SZ,1002RQ327,KN,68.6,18.56,6.46,59.9488,KN,,,,,
SZ,RQ357Åõ,KN,97.16,18.77,12.72,119.3772,KN,,ÅZ,,,SZ22-357
SZ,RQ242,KN,74.3,21.8,6.5,70.85,KNIF2,,,,,
SZ,RQ233,KN,76.94,27.31,7.09,96.81395,KN,,,,,
SZ,RQ69,KN,93.33,32.2,8,128.8,KN,ÅZ,ÅZ,0.004486688,88391,SZ4-69
SZ,RQ8613,KN,75,17,5,42.5,KN,ÅZ,ÅZ,0.002279614,49824,SZ25-8613
SZ,RQ390,KN,84.5,26,11.4,148.2,KN,ÅZ,ÅZ,0.003667372,79628,
SZ,RQ294,KN,79.5,24.4,5.8,70.76,KN,ÅZ,ÅZ,0.003740799,75749,
SZ,RQ318,KN,69.3,19.9,12.2,121.39,KN,,,,,
SZ,RQ580,KN,59.1,20.3,7,71.05,KN,ÅZ,ÅZ,0.00175375,36963,SZ12-580
SZ,RQ558,KN,101.8,35,12.2,213.5,KN,ÅZ,ÅZ,0.005759129,127818,SZ21-558
SZ,RQ474,KN,105.6,37.2,9.2,171.12,KND,,,,,
SZ,RQ534,BL,104.8,25.5,9,114.75,BL,,ÅZ,,,SZBL6-534
SZ,RQ369,BL,51,21.4,9.2,98.44,BLD,,ÅZ,,,SZBL30-369
SZ,RQ45,BL,121.8,31.7,10.5,166.425,BLD,,ÅZ,,,W-SZBL3-45
SZ,RQ219,BL,95,38,14,266,BL,,ÅZ,,,SZBL24-219
SZ,RQ241,BL,41,22,14,154,BL,,ÅZ,,,SZBL32-241
SZ,RQ389,BL,80.8,36,7.8,140.4,BLD,,,,,
SZ,RQ433,BL,70.9,25.9,8.4,108.78,BLD,,ÅZ,,,W-SZBL25-433
SZ,RQ474,BL,107,38,13,247,BL,,ÅZ,,,SZBL5-474
SZ,RQ461,BL,67,29,8,116,BL,,ÅZ,,,SZBL13-461
SZ,RQ410,BL,66.5,25.6,6.3,80.64,BLD,,,,,
SZ,RQ317,BL,30.6,30.1,10.8,162.54,BLD,,ÅZ,,,W-SZBL4-317
SZ,RQ297,BL,128.85,33.78,17.51,295.7439,BL,,ÅZ,,,SZBL1-297
SZ,RQ234,BL,65,25,10,125,BL,,ÅZ,,,SZBL28-234
SZ,RQ227,BL,121.76,35.03,13.34,233.6501,BL,,ÅZ,,,SZBL2-227
SZ,RQ441,BL,107.38,31.07,8.2,127.387,BL,,ÅZ,,,SZBL7-441
SZ,RQ346,BL,105.92,29.61,12.3,182.1015,BL,,ÅZ,,,SZBL8-346
SZ,RQ460,BL,105.29,32.11,10.43,167.45365,BL,,ÅZ,,,SZBL20-460
SZ,RQ472,BL,104.46,35.24,11.68,205.8016,BL,,ÅZ,,,SZBL19-472
SZ,RQ569,BL,102.79,18.56,9.59,88.9952,BL,,ÅZ,,,SZBL21-569
SZ,RQ409,BL,95.49,35.86,10.22,183.2446,BL,,ÅZ,,,SZBL22-409
SZ,RQ420,BL,94.24,35.24,8.76,154.3512,BL,,,,,
SZ,RQ428,BL,82,28,17,238,BL,,ÅZ,,,SZBL26-428
SZ,RQ1003,BL,91.95,28.15,7.51,105.70325,BL,,,,,
SZ,RQ74+264,BL,104.04,37.74,10.63,200.5881,BL,,ÅZ,,,SZBL11-74264
SZ,RQ535,BL,88.61,31.48,12.51,196.9074,BL,,ÅZ,,,SZBL10-535
SZ,RQ484,BL,89.24,37.74,11.88,224.1756,BL,,ÅZ,,,SZBL9-484
SZ,RQ465,BL,90.7,44.83,16.89,378.58935,BL,,,,,
SZ,RQ475,BL,87.78,27.52,10.63,146.2688,BL,,ÅZ,,,SZBL12-475
SZ,RQ38,BL,75.89,26.69,8.55,114.09975,BL,,ÅZ,,,SZBL29-38
SZ,RQ394,BL,72.77,21.89,8.34,91.2813,BL,,ÅZ,,,SZBL15-394
SZ,RQ378,BL,69.85,31.28,10.22,159.8408,BL,,ÅZ,,,SZBL14-378
SZ,RQ322,BL,67.14,27.52,9.38,129.0688,BL,,,,,
SZ,RQ323,BL,70,30,15,225,BL,,ÅZ,,,SZBL16-323
SZ,RQ326,BL,66.51,26.06,7.3,95.119,BL,,,,,
SZ,RQ234,BL,67.14,25.23,8.76,110.5074,BL,,,,,
SZ,RQ149,BL,64.22,29.4,11.68,171.696,BL,,ÅZ,,,SZBL17-149
SZ,RQ592,BL,64.84,19.39,6.67,64.66565,BL,,ÅZ,,,SZBL35-592
SZ,RQ285,BL,61.72,36.9,10.22,188.559,BL,,ÅZ,,,SZBL34-285
SZ,RQ513,BL,56.5,22.73,5.84,66.3716,BL,,,,,
SZ,RQ368,BL,57.75,21.27,10.84,115.2834,BL,,,,,
SZ,RQ494,BL,54,23.35,5.84,68.182,BL,,,,,
SZ,RQ523,BL,49.83,18.35,6.46,59.2705,BL,,ÅZ,,,SZBL31-523
SZ,RQ424,BL,49.83,17.51,10.01,87.63755,BL,,,,,
SZ,RQ381,BL,43.58,19.81,6.67,66.06635,BL,,ÅZ,,,SZBL18-381
IZ,1,KN,75,26.8,6.9,92.46,KN,,ÅZ,,,z-IZ-A
IZ,2,KN,52,24.2,6,72.6,KN,,ÅZ,,,z-IZ-B
IZ,3,KN,76,22.6,10.6,119.78,KN,,ÅZ,,,z-IZ-C
IZ,4,KN,69,35.9,13,233.35,KN,,ÅZ,,,z-IZ-D
IZ,5,KN,73,38.6,12,231.6,KN,,ÅZ,,,z-IZ-E
IZ,6,KN,54,23.2,8,92.8,KN,,ÅZ,,,z-IZ-F
IZ,13,BL,69,28.4,9,127.8,BL,,ÅZ,,,z-IZ1
IZ,14,BL,44,18.2,7.6,69.16,BL,,ÅZ,,,z-IZ5
IZ,15,BL,68,37,8,148,BL,,ÅZ,,,z-IZ6
IZ,16,BL,54,27.5,5.9,81.125,BL,,ÅZ,,,z-IZ6-126
IZ,17,BL,59,24,9.8,117.6,BL,,ÅZ,,,z-IZ8
IZ,18,BL,54.1,27,8.9,120.15,BL,,ÅZ,,,z-IZ8-13
IZ,19,BL,52,30,9.9,148.5,BL,,ÅZ,,,z-IZ8-18
IZ,20,BL,44.5,25,9,112.5,BL,,ÅZ,,,z-IZ8-22
IZ,21,BL,54,28.5,8.2,116.85,BL,,ÅZ,,,z-IZ8-24
IZ,22,BL,46,21,7,73.5,BL,,ÅZ,,,z-IZ9-28
IZ,23,BL,50.5,26,12.8,166.4,BL,,ÅZ,,,z-IZ9-29
IZ,24,BL,62,28,13.2,184.8,BL,,ÅZ,,,z-IZ9-31
IZ,25,BL,40,26,8.6,111.8,BL,,ÅZ,,,z-IZ9-32
IZ,26,BL,39,22,4,44,BL,,ÅZ,,,z-IZ9-33
IZ,27,BL,38,18,7,63,BL,,ÅZ,,,z-IZ9-34
IZ,28,BL,74,18,8,72,BL,,ÅZ,,,z-IZ9-36
IZ,29,BL,78.8,23,6.4,73.6,BL,,ÅZ,,,z-IZ9-37
IZ,30,BL,74.2,38,11.5,218.5,BL,,ÅZ,,,z-IZ9-38
IZ,31,BL,77.5,26,12.8,166.4,BL,,ÅZ,,,z-IZ9-39
IZ,32,BL,71,24,9,108,BL,,ÅZ,,,z-IZ10
IZ,33,BL,70.8,20,8.1,81,BL,,ÅZ,,,z-IZ10-40
IZ,34,BL,66,34,11,187,BL,,ÅZ,,,z-IZ10-42
IZ,35,BL,64,33.9,11.2,189.84,BL,,ÅZ,,,z-IZ10-44
IZ,36,BL,62,22.5,11,123.75,BL,,ÅZ,,,z-IZ10-45
IZ,37,BL,80.1,26,18,234,BL,,ÅZ,,,z-IZ10-46
IZ,38,BL,74,26.5,12,159,BL,,ÅZ,,,z-IZ10-47
IZ,39,BL,65.2,19,7,66.5,BL,,ÅZ,,,z-IZ10-49
IZ,40,BL,76,24.2,12,145.2,BL,,ÅZ,,,z-IZ10-50
IZ,42,BL,64.2,16,8.2,65.6,BL,,ÅZ,,,z-IZ10-51
IZ,43,BL,62,20,8,80,BL,,ÅZ,,,z-IZ10-52
IZ,44,BL,62.2,30,6,90,BL,,ÅZ,,,z-IZ10-53
IZ,45,BL,68,28,8,112,BL,,ÅZ,,,z-IZ10-54
IZ,46,BL,48,22,5,55,BL,,ÅZ,,,z-IZ11-55
IZ,47,BL,45,19,10,95,BL,,ÅZ,,,z-IZ11-56
IZ,48,BL,67,32,12.3,196.8,BL,,ÅZ,,,z-IZ11-59
IZ,49,BL,48,16.5,8.2,67.65,BL,,ÅZ,,,z-IZ11-60
IZ,50,BL,60,32,9,144,BL,,ÅZ,,,z-IZ11-61
IZ,51,BL,57,20.5,7.9,80.975,BL,,ÅZ,,,z-IZ11-62
IZ,52,BL,64,19.8,7.8,77.22,BL,,ÅZ,,,z-IZ11-63
IZ,53,BL,50,14,5,35,BL,,ÅZ,,,z-IZ13
IZ,54,BL,49,23,8,92,BL,,ÅZ,,,z-IZ14
IZ,55,BL,42,24,11,132,BL,,ÅZ,,,z-IZ15
IZ,56,BL,66,19,5,47.5,BL,,ÅZ,,,z-IZ18
IZ,57,BL,48,36,12,216,BL,,ÅZ,,,z-IZ18-2
IZ,58,BL,46.5,18,6,54,BL,,ÅZ,,,z-IZ18-3
IZ,59,BL,54,21,7,73.5,BL,,ÅZ,,,z-IZ19
IZ,60,BL,80,28.2,11,155.1,BL,,ÅZ,,,z-IZ19-2
IZ,61,BL,66,20,5.8,58,BL,,ÅZ,,,z-IZ19-3
IZ,62,BL,66,32.5,6.2,100.75,BL,,ÅZ,,,z-IZ19-4
IZ,63,BL,72,30,9,135,BL,,ÅZ,,,z-IZ19-5
IZ,64,BL,74,28,40,560,BL,,ÅZ,,,z-IZ19-6
IZ,65,BL,68,28,9,126,BL,,ÅZ,,,z-IZ20
IZ,67,BL,54,17.8,7,62.3,BL,,ÅZ,,,z-IZ21-15
IZ,68,BL,40,22,6.8,74.8,BL,,ÅZ,,,z-IZ21-16
IZ,70,BL,45,21,7,73.5,BL,,ÅZ,,,z-IZ21-17
IZ,71,BL,42,22,6,66,BL,,ÅZ,,,z-IZ22-12
IZ,73,BL,54,20,6.4,64,BL,,ÅZ,,,z-IZ22-13
IZ,74,BL,40,21,3.8,39.9,BL,,ÅZ,,,z-IZ22-14
IZ,76,BL,85,29,16,232,BL,,ÅZ,,,z-IZ24-9
IZ,77,BL,106,30,15.5,232.5,BL,,ÅZ,,,z-IZ24-10
IZ,78,BL,138,26,16,208,BL,,ÅZ,,,z-IZ24-11
IZ,79,BL,123,22,12,132,BL,,ÅZ,,,z-IZ25-3
IZ,80,BL,46,12,6,36,BL,,ÅZ,,,z-IZ25-4
IZ,81,BL,54,21,7,73.5,BL,,ÅZ,,,z-IZ25-5
IZ,82,BL,81,25,10,125,BL,,ÅZ,,,z-IZ25-6
IZ,83,BL,70,22,8,88,BL,,ÅZ,,,z-IZ27
IZ,84,BL,89,23,22,253,BL,,ÅZ,,,z-IZ27-10
IZ,85,BL,66,29,9,130.5,BL,,ÅZ,,,z-IZ27-11
IZ,86,BL,72,20,9,90,BL,,ÅZ,,,z-IZ27-12
IZ,87,BL,54,14,5,35,BL,,ÅZ,,,z-IZ29-2
IZ,88,BL,99,23,8,92,BL,,ÅZ,,,z-IZ29-3
IZ,89,BL,44,21,11,115.5,BL,,ÅZ,,,z-IZ29-4
IZ,90,BL,66,21,5,52.5,BL,,ÅZ,,,z-IZ29-6
IZ,91,BL,77,32,8,128,BL,,ÅZ,,,z-IZ29-7
IZ,92,BL,55,23,9,103.5,BL,,ÅZ,,,z-IZ29-8
IZ,93,BL,42,22,7,77,BL,,ÅZ,,,z-IZ29-9
IZ,94,BL,68,19,7,66.5,BL,,ÅZ,,,z-IZ78
